################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.7903388094578177E-02 a       418     0    17     1    18
  3.1793808214767204E-02 a       419     0    17     1    19
  1.2419119011441824E-02 a       420     0    17     1    20
 -2.7768214846137378E-02 a       421     0    17     1    21
 -1.6871407157185429E-02 a       422     0    17     1    22
 -6.7964994607341053E-02 a       423     0    17     1    23
 -5.4813022798904494E-02 a       424     0    17     1    24
 -5.3435612097425221E-02 a       425     0    17     1    25
 -1.2256501596927345E-01 a       426     0    18     1     1
 -5.0707521670491661E-02 a       427     0    18     1     2
  1.3372061476286268E-01 a       428     0    18     1     3
  2.1118576677903417E-01 a       429     0    18     1     4
 -2.4002969736699703E-01 a       430     0    18     1     5
  4.2592043344919034E-02 a       431     0    18     1     6
  2.0674294690911799E-01 a       432     0    18     1     7
 -1.3027061776012430E-01 a       433     0    18     1     8
  9.5822549360275983E-02 a       434     0    18     1     9
 -9.6681156310318567E-02 a       435     0    18     1    10
 -1.8886479587542694E-03 a       436     0    18     1    11
 -1.7053050252060731E-01 a       437     0    18     1    12
 -7.0341495097900664E-02 a       438     0    18     1    13
 -5.0965161984573057E-02 a       439     0    18     1    14
 -4.1383652852357608E-02 a       440     0    18     1    15
  1.7560492366347649E-01 a       441     0    18     1    16
  1.1041004690952801E-01 a       442     0    18     1    17
 -1.0380530523260262E-01 a       443     0    18     1    18
 -1.9919052676911710E-02 a       444     0    18     1    19
 -4.1852238301669460E-02 a       445     0    18     1    20
  2.0468033927437160E-01 a       446     0    18     1    21
 -1.1099470253064440E-01 a       447     0    18     1    22
 -2.2016185333087076E-02 a       448     0    18     1    23
 -9.1005274127166524E-02 a       449     0    18     1    24
 -1.5410265304407950E-01 a       450     0    18     1    25
  6.7477793485208812E-02 a       451     0    19     1     1
 -9.7532710610542417E-02 a       452     0    19     1     2
  1.8586340207401331E-01 a       453     0    19     1     3
  1.8710030994037793E-01 a       454     0    19     1     4
  2.2704795267937394E-01 a       455     0    19     1     5
  1.3082768772079822E-01 a       456     0    19     1     6
 -2.8387705279762909E-01 a       457     0    19     1     7
 -8.7963114800995047E-03 a       458     0    19     1     8
  1.1269787285619959E-01 a       459     0    19     1     9
 -4.0981143503016709E-02 a       460     0    19     1    10
 -1.3104947262816288E-01 a       461     0    19     1    11
 -1.3257656028418832E-01 a       462     0    19     1    12
 -1.0334171518749917E-01 a       463     0    19     1    13
 -1.9697005708626811E-01 a       464     0    19     1    14
 -2.1336325351288718E-01 a       465     0    19     1    15
  1.9899076571131474E-01 a       466     0    19     1    16
 -7.4136693196649478E-02 a       467     0    19     1    17
  1.6569154476042208E-01 a       468     0    19     1    18
  1.3798934877475386E-01 a       469     0    19     1    19
  3.7937603534179770E-02 a       470     0    19     1    20
 -1.6126557052009827E-01 a       471     0    19     1    21
 -2.4832693988282406E-01 a       472     0    19     1    22
 -2.2133452908683382E-01 a       473     0    19     1    23
 -2.8803919193811450E-01 a       474     0    19     1    24
  1.1538741503000716E-01 a       475     0    19     1    25
  7.1642177931775436E-02 a       476     0    20     1     1
  2.1125110136329450E-01 a       477     0    20     1     2
  1.2259187526662416E-01 a       478     0    20     1     3
  2.2570647492017049E-01 a       479     0    20     1     4
 -3.2884158424150567E-01 a       480     0    20     1     5
  7.6455590425800371E-02 a       481     0    20     1     6
  4.0496157043034675E-01 a       482     0    20     1     7
 -1.3542977919906123E-02 a       483     0    20     1     8
 -1.3476765311612030E-01 a       484     0    20     1     9
 -2.0751295656549512E-01 a       485     0    20     1    10
  3.6025297143693819E-02 a       486     0    20     1    11
  3.7002099795412198E-02 a       487     0    20     1    12
 -1.3639308286673646E-01 a       488     0    20     1    13
 -2.1477982410835242E-01 a       489     0    20     1    14
 -6.0279393497974516E-02 a       490     0    20     1    15
  1.3018294990155987E-01 a       491     0    20     1    16
  6.8592668444403843E-02 a       492     0    20     1    17
 -2.9844434084385818E-01 a       493     0    20     1    18
 -1.0035553381581931E-01 a       494     0    20     1    19
  1.9011125739905740E-01 a       495     0    20     1    20
  1.2251871188647431E-01 a       496     0    20     1    21
  1.4251272593762371E-01 a       497     0    20     1    22
