################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         15   2.9074954551566130E-02   4.1532057230290831E-01   1.6585330807030838E-01   4.4636663440563482E-02
         2         16   1.5372419741582358E-06   2.2945632639248884E-01   4.7405920562215188E-02   2.8227625989295797E-02
         2         17   1.5331615196221065E-03   3.1496230922883818E-02   1.3197886828533493E-02   2.8216282289054029E-03
         2         18   6.8077233602652197E-06   1.8704325565251495E-03   6.1347471230853478E-04   2.4771215227154561E-04
         2         19   3.6687245919933151E-02   3.1684047143750571E-01   1.5876565087098621E-01   2.3958373469105478E-02
         2         20   9.7907143119938152E-04   2.1763141036978521E-02   6.7042716773947058E-03   1.8091632119817068E-03
         2         21   6.2012293720058618E-03   5.3988936963543031E-02   2.8074572719889373E-02   5.1916864382203715E-03
         2         22   1.1621841107796379E-02   1.2646293447077503E-01   5.6532461559764963E-02   1.0464562255972063E-02
         2         23   1.8305541625372197E-02   8.9250781388373418E-02   4.6696122129826878E-02   7.8086637578003767E-03
         2         24   5.4407178309969786E-04   1.5013328715052968E-02   5.1524899471333766E-03   1.4249897183335792E-03
         2         25   6.4116703639552060E-06   8.6911738000198223E-04   1.1909192875877532E-04   6.5929477282903221E-05
         2         26   1.3183049374010748E-02   8.4167099551532940E-02   4.1534073660562346E-02   7.5345790815680314E-03
         2         27   3.2595331272842645E-03   6.4848978436336760E-02   2.9795730217164727E-02   6.5832526007120343E-03
         2         28   2.4421407582014345E-05   2.1978729348228420E-03   3.2635067005797204E-04   1.7337945739717879E-04
         2         29   5.6651286888021483E-03   3.7574378121398792E-02   1.6592253031989444E-02   3.2035602979711897E-03
         2         30   2.5197932165888066E-03   2.8110617089399974E-02   1.0926021370612202E-02   2.6883547253356123E-03
